zone,calibration_share,train_n,cal_n,test_n,q_hat,coverage_error_abs,mae,rmse,smape,n,picp,pinaw,mean_width,pinball_05,pinball_50,pinball_95,mean_interval_score
DE_LU,0.1,12147,1735,3471,6.311278322296641,0.008326130798040898,3.1902447986249576,5.557153141629465,14.822084866579832,3471,0.8916738692019591,0.045898536942632205,12.622556644593283,0.5681505604264838,1.5951223993124788,0.6444605291581507,24.252221791692683
DE_LU,0.15,11280,2602,3471,6.519287438280561,0.0014116969173149085,3.1896957357283995,5.5544196785678235,14.81838333803786,3471,0.8985883030826851,0.047411275504749356,13.03857487656112,0.5679442622045077,1.5948478678641997,0.6420911330359741,24.200707904809626
DE_LU,0.2,10412,3470,3471,6.391406154234975,0.0031403053874964337,3.2166589793047216,5.561848865778797,14.916055323720096,3471,0.8968596946125036,0.04648126362121359,12.782812308469948,0.5654670060810518,1.6083294896523608,0.6419634053908468,24.148608229437965
DE_LU,0.25,9544,4338,3471,6.507683406431269,0.0026217228464419096,3.211405908667727,5.533473128879255,14.84804769150955,3471,0.9026217228464419,0.047326885614568694,13.015366812862537,0.562733562268683,1.6057029543338635,0.6328507073967613,23.911685393308886
DK_1,0.1,35148,5021,10043,6.380856779103805,0.028447674997510775,3.084007914604193,5.027668786295176,18.893033298946655,10043,0.8715523250024892,0.04930348307142486,12.76171355820761,0.551249132665416,1.5420039573020965,0.6533036425059766,24.09105550342785
DK_1,0.15,32638,7531,10043,7.066961642585916,0.007238872846758948,3.077123575611377,5.016604626225059,18.74482527131794,10043,0.8927611271532411,0.05460486511038415,14.133923285171832,0.5544856589542373,1.5385617878056885,0.6361366430512068,23.812446040108874
DK_1,0.2,30127,10042,10043,7.0043127998816175,0.010226028079259208,3.079688811234416,5.017201850599283,18.673776503806927,10043,0.8897739719207408,0.05412079122146203,14.008625599763231,0.5510149347791115,1.539844405617208,0.6413361492124869,23.847021679831958
DK_1,0.25,27616,12553,10043,6.989997210327431,0.012117893059842677,3.094907098310671,5.0323128033350315,18.84105697737266,10043,0.8878821069401573,0.05401017779576133,13.979994420654862,0.5500761475387059,1.5474535491553354,0.6466826106017323,23.935175162808754
DK_2,0.1,35148,5021,10043,6.301309973802002,0.02834810315642744,3.101164009134501,5.163850845360081,15.349682984295187,10043,0.8716518968435726,0.051926740616415355,12.602619947604007,0.541976002136299,1.5505820045672505,0.680078557977423,24.441091202274436
DK_2,0.15,32638,7531,10043,7.240728381358906,0.0014637060639250965,3.094040453205303,5.163246456099269,15.262507838146197,10043,0.8985362939360749,0.05966813664078209,14.481456762717812,0.5487715903494834,1.5470202266026516,0.6615163566173973,24.205758939337606
DK_2,0.2,30127,10042,10043,6.8878256285644,0.011321318331176,3.094082012797311,5.16713707460849,15.23468994912333,10043,0.888678681668824,0.05675999693913803,13.7756512571288,0.5423784234291542,1.5470410063986555,0.6711481159443416,24.270530787469912
DK_2,0.25,27616,12553,10043,7.000416742935314,0.008632878621925744,3.1157625422438087,5.179403271850906,15.349248693267983,10043,0.8913671213780743,0.05768781823597293,14.00083348587063,0.5420440064393828,1.5578812711219043,0.6720404518936643,24.281689166660936
GB_GBN,0.1,35056,5007,10016,7.148712580866011,0.004932108626198084,3.3168829979273178,4.863326643749732,12.70482558127525,10016,0.8950678913738019,0.06329094803776902,14.29742516173202,0.5060501784159274,1.6584414989636589,0.581526879728625,21.751541162891037
GB_GBN,0.15,32552,7511,10016,7.952161213511978,0.01892971246006392,3.3075079146683044,4.85859559056083,12.671621737371206,10016,0.9189297124600639,0.07040426041179264,15.904322427023954,0.5170844202746177,1.6537539573341522,0.5772343562884832,21.886375531262004
GB_GBN,0.2,30048,10015,10016,8.641202871874341,0.03620207667731623,3.318319926284083,4.873099895059712,12.696370401374049,10016,0.9362020766773163,0.07650467350043687,17.282405743748686,0.536436973174726,1.6591599631420415,0.5782601937687387,22.293943338869283
GB_GBN,0.25,27544,12519,10016,9.133235846219293,0.045387380191693305,3.35132441392106,4.903225606643137,12.806871129643326,10016,0.9453873801916933,0.08086087513253026,18.266471692438586,0.5561505715563615,1.67566220696053,0.5803659171166913,22.73032977346105
