dataset,zone,anchor_model,cal_objective,cal_all_rmse,cal_spike_rmse,residual_residual_shrinkage,residual_cal_objective,residual_cal_all_rmse,residual_cal_spike_rmse
OPSD,DE_LU,TDConv-style sequence ridge,5.255540019282257,3.759434203881467,7.0841137936609995,0.9,5.222234185346696,3.7459269986522834,7.026609635750977
OPSD,DK_1,NLinear-style sequence ridge,5.136568852973461,3.9502126640833044,6.586559750505875,0.4,5.1077234159459035,3.9216180545288406,6.557407746566758
OPSD,DK_2,NLinear-style sequence ridge,5.5632733370809415,4.093072999281571,7.360184861057949,0.6000000000000001,5.502984057376926,4.045280359898407,7.284621909850671
OPSD,GB_GBN,TDConv-style sequence ridge,5.616364503989816,4.64426618625056,6.8044846701155715,0.5,5.56641761153427,4.57144673946531,6.782493121840775
