dataset,zone,model,target_coverage,calibration_width,mae,rmse,smape,n,picp,pinaw,mean_width,pinball_05,pinball_50,pinball_95,mean_interval_score
OPSD,DE_LU,Conformal-linear-global,0.9,12.78252061864928,3.2166595422331357,5.561837475069286,14.916028728531625,3471,0.8968596946125036,0.046480202969525757,12.782520618649277,0.5654650625491646,1.6083297711165678,0.641959734041902,24.148495931821323
OPSD,DE_LU,Regime-conformal-linear,0.9,12.938975591669308,3.2166595422331357,5.561837475069286,14.916028728531625,3471,0.9037741284932296,0.04704910945663543,12.938975591669308,0.5398379681731064,1.6083297711165678,0.6171755070554954,23.140269504572032
OPSD,DK_1,Conformal-linear-global,0.9,14.008625599763235,3.079688811234416,5.017201850599283,18.673776503806927,10043,0.8897739719207408,0.05412079122146203,14.008625599763231,0.5510149347791115,1.539844405617208,0.6413361492124869,23.847021679831958
OPSD,DK_1,Regime-conformal-linear,0.9,13.768371343228473,3.079688811234416,5.017201850599283,18.673776503806927,10043,0.8876829632579907,0.05319259520641506,13.768371343228473,0.56744440806769,1.539844405617208,0.5864923646238103,23.078735453830003
OPSD,DK_2,Conformal-linear-global,0.9,13.7756512571288,3.094082012797311,5.16713707460849,15.23468994912333,10043,0.888678681668824,0.05675999693913803,13.7756512571288,0.5423784234291542,1.5470410063986555,0.6711481159443416,24.270530787469912
OPSD,DK_2,Regime-conformal-linear,0.9,13.219410518508095,3.094082012797311,5.16713707460849,15.23468994912333,10043,0.8853928109130738,0.05446811091268272,13.219410518508095,0.5445197554065984,1.5470410063986555,0.6124673237231757,23.139741582595477
OPSD,GB_GBN,Conformal-linear-global,0.9,17.284088386574155,3.3183145028284224,4.873086948826835,12.696301041016017,10016,0.9362020766773163,0.07651212211852218,17.284088386574158,0.5364594755873301,1.6591572514142112,0.5782630010080478,22.29444953190755
OPSD,GB_GBN,Regime-conformal-linear,0.9,16.753049231267692,3.3183145028284224,4.873086948826835,12.696301041016017,10016,0.9358027156549521,0.07416135117869718,16.753049231267692,0.5123790592940172,1.6591572514142112,0.5552862113189805,21.353305412259946
