dataset,zone,regime,model,anchor_model,residual_shrinkage,spike_threshold,mae,rmse,smape,n,anchor_rmse,anchor_mae,rmse_improvement_pct_vs_anchor,mae_improvement_pct_vs_anchor
OPSD,DK_1,non_spike,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.91,2.2453871931072182,3.619251752079706,15.063225440826344,8325,3.619251752079706,2.2453871931072182,0.0,0.0
OPSD,DK_1,non_spike,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.4,16.91,2.2178584480126253,3.584595997123153,14.890901157043585,8325,3.619251752079706,2.2453871931072182,0.9575392188907199,1.2260132764228517
OPSD,DK_2,all,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5805430881935503,4.482834328404807,13.591889336009075,10043,4.482901576217681,2.5784274495649155,0.001500095679784135,-0.08205150891454108
OPSD,DK_2,all,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5784274495649155,4.482901576217681,13.613614981742353,10043,4.482901576217681,2.5784274495649155,0.0,0.0
OPSD,DK_2,all,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.594736514681769,4.497452356102897,13.637606801181846,10043,4.482901576217681,2.5784274495649155,-0.3245839695078359,-0.6325198376089801
OPSD,DK_2,all,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.5784274495649155,4.482901576217681,13.613614981742353,10043,4.482901576217681,2.5784274495649155,0.0,0.0
OPSD,DK_2,all,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,2.536833716867932,4.4208520341839925,13.437817324726641,10043,4.482901576217681,2.5784274495649155,1.3841379512516687,1.6131434182490678
OPSD,DK_2,spike,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,4.250536481739746,6.955712070636288,21.834167253666706,1712,6.955536959162281,4.246767380990712,-0.0025175838333620867,-0.08875222989385538
OPSD,DK_2,spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,4.246767380990712,6.955536959162281,21.844478892762485,1712,6.955536959162281,4.246767380990712,0.0,0.0
OPSD,DK_2,spike,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,4.24964136379337,7.015656370268603,21.523707738809964,1712,6.955536959162281,4.246767380990712,-0.8643388922997443,-0.06767459916741632
OPSD,DK_2,spike,Selected anchor: NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,4.246767380990712,6.955536959162281,21.844478892762485,1712,6.955536959162281,4.246767380990712,0.0,0.0
OPSD,DK_2,spike,TDConv-inclusive GraphPatch residual,NLinear-style sequence ridge,0.6000000000000001,16.880000000000003,4.15292092634737,6.859264004782323,21.568356017085968,1712,6.955536959162281,4.246767380990712,1.3841196581256199,2.2098327086012577
OPSD,DK_2,non_spike,DLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.2373635551541686,3.7792954585724154,11.898121505612984,8331,3.779457842750628,2.2355876989226195,0.004296493967350847,-0.07943576681893998
OPSD,DK_2,non_spike,NLinear-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.2355876989226195,3.779457842750628,11.922192701623944,8331,3.779457842750628,2.2355876989226195,0.0,0.0
OPSD,DK_2,non_spike,TDConv-style sequence ridge,NLinear-style sequence ridge,0.0,16.880000000000003,2.2546576403954814,3.7774620783241217,12.017032463741042,8331,3.779457842750628,2.2355876989226195,0.05280557449090579,-0.8530169262450377
