dataset,zone,regime,model,lookback_hours,patch_hours,patch_count,selected_anchor,spike_threshold,mae,rmse,smape,n
OPSD,DK_2,spike,Patch-attention sequence ridge,168,24,7,NLinear-style sequence ridge,16.880000000000003,4.19259048201564,6.793675052380689,21.1676589965644,1712
OPSD,DK_2,spike,Calibration-selected strong anchor (NLinear-style sequence ridge),168,24,7,NLinear-style sequence ridge,16.880000000000003,4.246767380990712,6.955536959162281,21.844478892762485,1712
OPSD,DK_2,non_spike,DLinear-style sequence ridge,168,24,7,NLinear-style sequence ridge,16.880000000000003,2.2373635551541686,3.7792954585724154,11.898121505612984,8331
OPSD,DK_2,non_spike,NLinear-style sequence ridge,168,24,7,NLinear-style sequence ridge,16.880000000000003,2.2355876989226195,3.779457842750628,11.922192701623944,8331
OPSD,DK_2,non_spike,TDConv-style sequence ridge,168,24,7,NLinear-style sequence ridge,16.880000000000003,2.2546576403954814,3.7774620783241217,12.017032463741042,8331
OPSD,DK_2,non_spike,Patch-attention sequence ridge,168,24,7,NLinear-style sequence ridge,16.880000000000003,2.2731718733024153,3.847877703803313,11.954558949552522,8331
OPSD,DK_2,non_spike,Calibration-selected strong anchor (NLinear-style sequence ridge),168,24,7,NLinear-style sequence ridge,16.880000000000003,2.2355876989226195,3.779457842750628,11.922192701623944,8331
OPSD,GB_GBN,all,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,3.006519304380879,4.4044129077017224,11.813047525524121,10016
OPSD,GB_GBN,all,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,3.002758590098285,4.390874268069165,11.768595136084006,10016
OPSD,GB_GBN,all,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,3.149758828896495,4.503334106223148,12.369673978581229,10016
OPSD,GB_GBN,all,Patch-attention sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,3.316421325828721,5.089005257162787,12.646256106369643,10016
OPSD,GB_GBN,all,Calibration-selected strong anchor (TDConv-style sequence ridge),168,24,7,TDConv-style sequence ridge,17.08,3.149758828896495,4.503334106223148,12.369673978581229,10016
OPSD,GB_GBN,spike,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,6.162045740672872,8.678726565392065,34.518276927584225,767
OPSD,GB_GBN,spike,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,6.1357080824299155,8.608486105845829,34.26228781807165,767
OPSD,GB_GBN,spike,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,5.926693497012314,8.449395022616908,32.296426295940044,767
OPSD,GB_GBN,spike,Patch-attention sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,7.085535943406192,10.838249523880314,35.95976015853424,767
OPSD,GB_GBN,spike,Calibration-selected strong anchor (TDConv-style sequence ridge),168,24,7,TDConv-style sequence ridge,17.08,5.926693497012314,8.449395022616908,32.296426295940044,767
OPSD,GB_GBN,non_spike,DLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,2.744838173811525,3.8420575506941517,9.930150893306573,9249
OPSD,GB_GBN,non_spike,NLinear-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,2.742949717720908,3.8383787487336463,9.903240796470584,9249
OPSD,GB_GBN,non_spike,TDConv-style sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,2.919473512597994,4.005169990199436,10.71719057200601,9249
OPSD,GB_GBN,non_spike,Patch-attention sequence ridge,168,24,7,TDConv-style sequence ridge,17.08,3.003856625679308,4.278351884094353,10.712916544469952,9249
OPSD,GB_GBN,non_spike,Calibration-selected strong anchor (TDConv-style sequence ridge),168,24,7,TDConv-style sequence ridge,17.08,2.919473512597994,4.005169990199436,10.71719057200601,9249
