protocol,model,mean_spike_win_rate,mean_abs_error_delta,significant_better_cases,paired_cases
rolling_origin,Rolling GraphPatch blend,0.6093298549631093,0.7345742298322175,11,12
zone_holdout,LOZO GraphPatch blend,0.6222128431732208,0.5234947737453792,3,4
