dataset,protocol,fold,zone,regime,model,blend_weight_mlp,cal_objective,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,rolling_origin,R1,DE_LU,all,Local ridge,,,24.974999999999998,3.257412323575969,4.1741985584204455,21.725822142871888,1736,4.1741985584204455,3.257412323575969,0.0,0.0
OPSD,rolling_origin,R1,DE_LU,all,Rolling GraphPatch blend,0.4,4.976365580240643,24.974999999999998,2.7827569811184527,3.652266101624147,20.0484754174476,1736,4.1741985584204455,3.257412323575969,12.50377646131435,14.571546224656093
OPSD,rolling_origin,R1,DE_LU,spike,Local ridge,,,24.974999999999998,3.920619898035932,5.117763665193412,59.587851761066034,139,5.117763665193412,3.920619898035932,0.0,0.0
OPSD,rolling_origin,R1,DE_LU,spike,Rolling GraphPatch blend,0.4,4.976365580240643,24.974999999999998,3.4740427400164045,4.674024092241315,55.7333733734935,139,5.117763665193412,3.920619898035932,8.670575704189483,11.39047318112231
OPSD,rolling_origin,R1,DE_LU,non_spike,Local ridge,,,24.974999999999998,3.199687932311138,4.08176677531125,18.43037936458198,1597,4.08176677531125,3.199687932311138,0.0,0.0
OPSD,rolling_origin,R1,DE_LU,non_spike,Rolling GraphPatch blend,0.4,4.976365580240643,24.974999999999998,2.7225887153158133,3.5494470362758594,16.94252625283246,1597,4.08176677531125,3.199687932311138,13.04140506643227,14.910804649962081
OPSD,rolling_origin,R2,DE_LU,all,Local ridge,,,24.38000000000001,3.3187352746101415,5.023439992538708,23.761541608538355,1735,5.023439992538708,3.3187352746101415,0.0,0.0
OPSD,rolling_origin,R2,DE_LU,all,Rolling GraphPatch blend,0.30000000000000004,4.013666488678096,24.38000000000001,2.7731972173810053,4.320534516051203,21.29974704974585,1735,5.023439992538708,3.3187352746101415,13.992512651321148,16.43813115805754
OPSD,rolling_origin,R2,DE_LU,spike,Local ridge,,,24.38000000000001,6.948659248052404,10.837086663268371,42.20895002022509,161,10.837086663268371,6.948659248052404,0.0,0.0
OPSD,rolling_origin,R2,DE_LU,spike,Rolling GraphPatch blend,0.30000000000000004,4.013666488678096,24.38000000000001,5.528262769672497,9.178239833289666,35.4752998481039,161,10.837086663268371,6.948659248052404,15.307128950082708,20.44130281360423
OPSD,rolling_origin,R2,DE_LU,non_spike,Local ridge,,,24.38000000000001,2.94744063692005,3.975337176076158,21.874608473670783,1574,3.975337176076158,2.94744063692005,0.0,0.0
OPSD,rolling_origin,R2,DE_LU,non_spike,Rolling GraphPatch blend,0.30000000000000004,4.013666488678096,24.38000000000001,2.4913893686396262,3.4582850070185893,19.849769921070088,1574,3.975337176076158,2.94744063692005,13.006498471858514,15.472788919575251
OPSD,rolling_origin,R3,DE_LU,all,Local ridge,,,24.173999999999996,2.8911093146745124,4.343023310010683,17.78987110114667,1735,4.343023310010683,2.8911093146745124,0.0,0.0
OPSD,rolling_origin,R3,DE_LU,all,Rolling GraphPatch blend,0.30000000000000004,6.266651822266831,24.173999999999996,2.300213039417693,3.6469391571733105,15.250834828416027,1735,4.343023310010683,2.8911093146745124,16.02764026692872,20.43839270475125
OPSD,rolling_origin,R3,DE_LU,spike,Local ridge,,,24.173999999999996,6.129143574539847,9.458347708561451,46.96272089898114,116,9.458347708561451,6.129143574539847,0.0,0.0
OPSD,rolling_origin,R3,DE_LU,spike,Rolling GraphPatch blend,0.30000000000000004,6.266651822266831,24.173999999999996,5.04414411340101,7.931565438103461,47.8314649146465,116,9.458347708561451,6.129143574539847,16.14216687208471,17.702301274942723
OPSD,rolling_origin,R3,DE_LU,non_spike,Local ridge,,,24.173999999999996,2.65910685998373,3.715310019101234,15.699660738855872,1619,3.715310019101234,2.65910685998373,0.0,0.0
OPSD,rolling_origin,R3,DE_LU,non_spike,Rolling GraphPatch blend,0.30000000000000004,6.266651822266831,24.173999999999996,2.103612665988376,3.121807368301438,12.916459850032622,1619,3.715310019101234,2.65910685998373,15.97451216045141,20.89025463229232
OPSD,rolling_origin,R1,DK_1,all,Local ridge,,,16.019999999999996,3.3669741351562963,5.080648408785944,10.134527224199823,5021,5.080648408785944,3.3669741351562963,0.0,0.0
OPSD,rolling_origin,R1,DK_1,all,Rolling GraphPatch blend,0.9,4.63521859386467,16.019999999999996,2.901917827211176,4.467566438401244,9.064280522674128,5021,5.080648408785944,3.3669741351562963,12.067002497643802,13.812292262338158
OPSD,rolling_origin,R1,DK_1,spike,Local ridge,,,16.019999999999996,5.135880882123876,7.249359278304157,22.715930312833375,1019,7.249359278304157,5.135880882123876,0.0,0.0
OPSD,rolling_origin,R1,DK_1,spike,Rolling GraphPatch blend,0.9,4.63521859386467,16.019999999999996,4.613362477650739,6.574125095225975,21.396708568856624,1019,7.249359278304157,5.135880882123876,9.314398102726386,10.173880907009213
OPSD,rolling_origin,R1,DK_1,non_spike,Local ridge,,,16.019999999999996,2.916570343262253,4.359394580807458,6.931016542711172,4002,4.359394580807458,2.916570343262253,0.0,0.0
OPSD,rolling_origin,R1,DK_1,non_spike,Rolling GraphPatch blend,0.9,4.63521859386467,16.019999999999996,2.466145188830888,3.7465495534484536,5.924164535902523,4002,4.359394580807458,2.916570343262253,14.058030673733867,15.443658181326562
