timestamp_utc,zone,price_eur_mwh,lag_1_24_abs,spike_regime,local_ridge_pred,graph_residual_ridge_pred,graph_residual_elm_pred
2020-05-09 08:00:00+00:00,DE_LU,18.79,0.11000000000000298,False,20.492177452979526,20.454450509968034,22.608324017584994
2020-05-09 09:00:00+00:00,DE_LU,19.01,0.22000000000000242,False,18.581445130014945,18.655029838563376,20.808346425956486
2020-05-09 10:00:00+00:00,DE_LU,18.38,1.120000000000001,False,18.302547740967945,18.55879622470732,20.739769368295487
2020-05-09 11:00:00+00:00,DE_LU,16.93,2.379999999999999,False,17.430191695671972,17.959637310267777,20.01355880791021
2020-05-09 12:00:00+00:00,DE_LU,16.02,1.8900000000000006,False,16.15958755040377,16.55662996094489,19.03391058667534
2020-05-09 13:00:00+00:00,DE_LU,14.75,0.240000000000002,False,16.04963812939983,16.46162099808443,19.39246407206964
2020-05-09 14:00:00+00:00,DE_LU,16.05,4.550000000000001,False,16.01163012112979,16.73726584161719,18.820831225822825
2020-05-09 15:00:00+00:00,DE_LU,21.11,6.419999999999998,False,18.502737955884964,19.64605179521094,20.911929027660634
2020-05-09 16:00:00+00:00,DE_LU,26.97,5.850000000000001,False,24.517748029659757,24.77843477718333,26.8643409757617
2020-05-09 17:00:00+00:00,DE_LU,36.61,9.96,False,30.65273349998181,30.799718484642767,33.43266560852932
2020-05-09 18:00:00+00:00,DE_LU,33.99,5.009999999999998,False,38.34600305282545,38.353724012561784,39.38464161877623
2020-05-09 19:00:00+00:00,DE_LU,28.28,3.280000000000001,False,35.020713650508064,34.994613367401335,36.377343142771316
2020-05-09 20:00:00+00:00,DE_LU,26.41,1.0499999999999972,False,29.282652685634353,29.207078801210983,30.899995110109085
2020-05-09 21:00:00+00:00,DE_LU,22.93,1.5100000000000016,False,26.478129573210108,27.26753233043448,28.51721172630419
2020-05-09 22:00:00+00:00,DE_LU,20.7,1.4199999999999982,False,22.954051778214428,23.960768831438408,25.2067648329399
2020-05-09 23:00:00+00:00,DE_LU,19.41,0.019999999999999574,False,20.873928649136072,21.24891771832423,22.804666598185936
2020-05-10 00:00:00+00:00,DE_LU,19.1,1.4800000000000004,False,20.058860696406605,20.94342048434609,20.163210337616153
2020-05-10 01:00:00+00:00,DE_LU,18.29,1.9100000000000001,False,20.291084131541407,21.18445453925789,19.700821815165586
2020-05-10 02:00:00+00:00,DE_LU,16.43,3.710000000000001,False,20.449436383094206,21.007004178514656,19.610871388639058
2020-05-10 03:00:00+00:00,DE_LU,16.0,5.300000000000001,False,19.856075623666648,20.327456550136777,18.924337593046793
2020-05-10 04:00:00+00:00,DE_LU,15.0,5.109999999999999,False,19.919111528391564,20.205458460621834,19.48310986946494
2020-05-10 05:00:00+00:00,DE_LU,12.76,6.109999999999999,False,19.157067612918524,19.649534036504566,19.51320906522183
2020-05-10 06:00:00+00:00,DE_LU,14.01,8.299999999999999,False,17.46813862135314,18.073829347701817,19.540527410807115
2020-05-10 07:00:00+00:00,DE_LU,13.77,6.229999999999999,False,17.907680538684872,19.16625761422539,20.161059076383452
2020-05-10 08:00:00+00:00,DE_LU,12.64,5.02,False,16.58519046882695,18.22511672985102,19.855871886238404
2020-05-10 09:00:00+00:00,DE_LU,12.46,6.370000000000001,False,14.414919913450744,16.262316606930902,18.384186555265305
2020-05-10 10:00:00+00:00,DE_LU,11.72,5.919999999999998,False,12.977623835026618,14.83374877215572,17.091333947592048
2020-05-10 11:00:00+00:00,DE_LU,6.0,5.209999999999999,False,10.907914338201346,12.978489757205326,15.12994844132189
2020-05-10 12:00:00+00:00,DE_LU,2.36,10.02,False,6.285757217422965,8.304028554799228,10.201227398629307
2020-05-10 13:00:00+00:00,DE_LU,0.93,12.39,False,3.962445332984974,5.409004675067775,6.963788330922407
2020-05-10 14:00:00+00:00,DE_LU,2.97,15.120000000000001,False,3.5017420034453557,4.948470084569506,5.252672015336806
2020-05-10 15:00:00+00:00,DE_LU,6.23,18.14,False,6.325807879300286,8.403941879862009,6.8311301335233505
2020-05-10 16:00:00+00:00,DE_LU,12.1,20.74,False,10.269997633186504,12.323941176549102,10.5488208172868
2020-05-10 17:00:00+00:00,DE_LU,14.51,24.509999999999998,True,15.659891959922138,17.40856592893407,17.067196060692517
2020-05-10 18:00:00+00:00,DE_LU,14.73,19.480000000000004,False,17.265111140942278,18.469879647704875,19.28378059418173
2020-05-10 19:00:00+00:00,DE_LU,14.99,13.55,False,16.197828932900943,17.782564788477792,18.057416039343106
2020-05-10 20:00:00+00:00,DE_LU,14.7,11.42,False,15.50002037004649,16.309543170016426,15.76298365813211
2020-05-10 21:00:00+00:00,DE_LU,10.1,8.23,False,14.045756306417422,15.065125076985279,13.719391490214798
2020-05-10 22:00:00+00:00,DE_LU,5.79,10.6,False,9.74258148955779,11.61452931383529,9.54465899824758
2020-05-10 23:00:00+00:00,DE_LU,2.02,13.620000000000001,False,6.042853163958868,7.463227241315511,4.959612815405383
2020-05-11 00:00:00+00:00,DE_LU,0.13,17.080000000000002,False,3.2513091401523235,4.529939533835495,2.015774219992666
2020-05-11 01:00:00+00:00,DE_LU,-0.01,18.16,False,2.2211592675104344,3.562271872305871,0.8463875278329613
2020-05-11 02:00:00+00:00,DE_LU,0.02,16.44,False,2.806116724309491,4.004117931053534,1.5456381333111517
