protocol,regime,model,mean_rmse_improvement_pct,median_rmse_improvement_pct,min_rmse_improvement_pct,mean_mae_improvement_pct,cases,positive_rmse_cases
rolling_origin,all,Rolling GraphPatch blend,12.020578560738754,13.14945269868257,5.791905232656609,13.198395751594207,12,12
rolling_origin,non_spike,Rolling GraphPatch blend,12.366333285564522,13.549717870083068,5.421285473783107,13.21855367203841,12,12
rolling_origin,spike,Rolling GraphPatch blend,11.251614864774217,11.98822240308326,2.2238346630394044,13.477735841157077,12,12
zone_holdout,all,LOZO GraphPatch blend,6.677545265255347,7.0528156475987185,2.885574560759024,7.524030120994518,4,4
zone_holdout,non_spike,LOZO GraphPatch blend,7.433701695842279,7.3046601517427305,5.572152910732524,6.981658774481769,4,4
zone_holdout,spike,LOZO GraphPatch blend,5.60113516949694,6.650416511935479,-0.9634788807280591,8.814232159791905,4,3
