dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_314,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,34.130805773636936,53.71535754766291,3.6460671261478472,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,40.97330122324758,58.74889482021049,4.542879793527154,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,258.9650029293131,396.44425153062696,30.156536252276084,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,35.1566839739592,54.01868487454518,3.842744207871921,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,75.93451092473212,99.17199142000047,8.475655881898723,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,20.112507758649283,33.24477206314324,5.536808044630175,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,19.98095162843876,33.55053039162483,5.410239761233171,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,90.24853325327588,127.93721319331594,25.752193548697345,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,19.429805417294098,32.323638253466136,5.4077124634041525,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,29.578014401144795,54.824468381470794,8.454752293329157,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,31.510333628541087,48.6167418648182,4.238952163099362,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,32.449816059065476,49.785408402847466,4.336837631009701,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,341.21855591126746,433.0933826971855,35.32788067725597,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,31.268856788669034,48.51365197363293,4.218573698189849,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,81.12031597280993,146.40686903019926,12.19080603894141,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,PatchAttention-ridge-source-head,CPU-only patch-attention source representation,0,28.551187549580717,42.701295171558634,6.721153150550892,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,PatchAttention-ridge+adapter-7d,CPU-only patch-attention source representation with target adapter,7,28.31625103554591,42.60855679857615,6.628888689645527,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,PatchAttention-ridge+target-head-7d,target-only CPU-only patch-attention ridge,7,99.68292303414063,158.03750230140713,22.481287848647888,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,PatchAttention-ridge+adapter-28d,CPU-only patch-attention source representation with target adapter,28,28.532764779450343,42.56734697398154,6.741948082996996,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,PatchAttention-ridge+target-head-28d,target-only CPU-only patch-attention ridge,28,59.12166163912474,85.8835384744973,16.134272734950684,2208
