dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,37.14521353805692,53.46963853480263,8.477535438180904,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-7d,target-only lag-calendar ridge,7,38.71783960700451,61.43120113562003,7.6568675275566624,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,37.43123819337286,53.67934540688913,8.6139634531747,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-28d,target-only lag-calendar ridge,28,37.04100063443865,59.2895525539652,7.248941169477027,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-24h,zero-label seasonal,0,68.88167422750722,118.05820526404761,6.354551946567404,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-168h,zero-label seasonal,0,81.71372761933699,127.24119188851255,7.218024397965249,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag-source-head,zero-label source representation,0,50.485062337226964,74.2244033284767,4.7174380293965905,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,53.10564908858106,77.99084786254137,4.963095818102919,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-1d,target-only lag-calendar ridge,1,70.43442720725952,107.82487145140533,6.313491650419547,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,86.89969884549042,112.88658105754712,8.128401267294407,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-3d,target-only lag-calendar ridge,3,145.9030763647393,183.26845383509672,14.103897837531754,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,50.31641588064765,74.21763327695939,4.708192361145127,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-7d,target-only lag-calendar ridge,7,60.96706703356209,96.99226250449313,5.579529540758172,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,49.81429294019249,73.18417263977724,4.6599006006042165,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-28d,target-only lag-calendar ridge,28,58.40890594068683,83.9023925745426,5.3709798562933235,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Seasonal-24h,zero-label seasonal,0,124.22286553313766,178.83196767948954,10.39369256319909,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Seasonal-168h,zero-label seasonal,0,92.17772094063137,128.9761784501056,7.920033800861657,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag-source-head,zero-label source representation,0,76.47485278805594,104.86042640272375,6.558889852942425,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,78.5280483997846,107.16729403703688,6.802683301052094,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-1d,target-only lag-calendar ridge,1,109.64788675637871,150.07980863717174,9.58056112069679,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-3d,frozen source representation with target adapter,3,200.18554615093998,250.7813034804013,21.269268621826853,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-3d,target-only lag-calendar ridge,3,146.54863040950175,183.66112015515353,14.47650606616444,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-7d,frozen source representation with target adapter,7,76.6417139870357,105.29735130148156,6.581342177589377,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-7d,target-only lag-calendar ridge,7,80.689348187603,112.13264804445932,6.903310541079387,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SSL-MR-lag+adapter-28d,frozen source representation with target adapter,28,76.33033614389986,104.92662819232983,6.548717327794333,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-28d,target-only lag-calendar ridge,28,77.04960372444836,106.46558695531027,6.587307953946667,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-24h,zero-label seasonal,0,59.46583434118741,100.50281522085459,6.300634917709931,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-168h,zero-label seasonal,0,67.1752874954887,100.8644183757621,6.932125793224209,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag-source-head,zero-label source representation,0,43.615540285793884,63.43376763433777,4.653296326115663,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SSL-MR-lag+adapter-1d,frozen source representation with target adapter,1,94.53017201713146,115.47977280981232,10.88049151469861,2208
