target_client,source_target_latent_distance,target_28d_median_load,ssl_source_head_rmse,ssl_adapter_28d_rmse,target_linear_28d_rmse,adapter_gain_vs_source_head,adapter_gain_pct
MT_355,3.2081611156463623,1011.7960426179611,68.36283015300444,67.71599536680658,75.52691095567543,0.6468347861978572,0.9461790636083399
MT_166,0.7384089827537537,1491.42857142857,86.08209090268468,85.68456425250687,95.76917439851739,0.3975266501778094,0.4617994823420484
MT_163,0.2492821365594864,2482.430875576036,150.05275062400625,147.02273498265677,129.10735752940928,3.030015641349479,2.019300298560952
MT_101,2.767317771911621,918.5540069686417,54.16865262026867,53.67934540688913,59.2895525539652,0.48930721337954,0.903303275438039
MT_218,0.8622812032699585,1522.4480151228724,74.2244033284767,73.18417263977724,83.9023925745426,1.0402306886994523,1.401467229175234
MT_043,0.5569044947624207,999.999999999999,104.86042640272375,104.92662819232983,106.46558695531027,-0.06620178960608314,-0.06313324471124175
MT_314,0.794794499874115,1279.4943820224698,63.43376763433777,63.428051723884245,77.6254606780321,0.0057159104535244865,0.009010832347959682
MT_104,1.7494319677352905,703.4653465346535,48.05607248440076,47.4039782265714,70.52424669000546,0.6520942578293614,1.3569445527223107
MT_222,1.0812865495681763,1146.3333333333337,58.57095509285282,57.768833281590766,72.72628096076372,0.8021218112620545,1.369487333765425
MT_360,1.8739334344863892,697.3684210526314,49.07709204712232,48.80435919011239,56.879375097045454,0.27273285700992744,0.5557233438934355
