dataset,target_client,model,protocol,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-7d-linear,few-shot target only,55.148104485476544,82.57717390745458,5.8706015581706605,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Pooled+target-7d-linear,few-shot transfer,52.36116518886774,74.73781798162227,5.537972326207895,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-28d-linear,few-shot target only,50.46897238741466,77.63040787762242,5.3496955821454435,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Pooled+target-28d-linear,few-shot transfer,52.35378279313144,74.72098549492563,5.540061660771475,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-24h,direct seasonal,34.74965023676278,78.54758959877984,7.791745623015248,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-168h,direct seasonal,50.17510582579994,87.48885203750548,10.773676305134078,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Pooled-source-linear,source-only transfer,33.91941468938703,56.93968543477541,8.200211498770502,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-7d-linear,few-shot target only,32.488237196107825,66.65491432887598,7.478452674905572,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Pooled+target-7d-linear,few-shot transfer,33.91632304633395,56.9399611879137,8.199528525313712,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-28d-linear,few-shot target only,32.215171303716076,70.5331046968421,7.320134146658503,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Pooled+target-28d-linear,few-shot transfer,33.90125629265799,56.94010544909532,8.196886211461237,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-24h,direct seasonal,56.93659420289853,104.97665323986487,7.508732165336854,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-168h,direct seasonal,70.86790458937195,115.5857237335061,8.639020813300464,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Pooled-source-linear,source-only transfer,44.972672584557564,71.3269638366557,5.839933759555101,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-7d-linear,few-shot target only,45.59451701296841,73.66753062285038,5.845840726492185,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Pooled+target-7d-linear,few-shot transfer,44.969195042799626,71.32427450584161,5.839593740701178,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Target-28d-linear,few-shot target only,44.99628705245763,72.72700347122907,5.793301207767111,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Pooled+target-28d-linear,few-shot transfer,44.96118853668472,71.31177963245528,5.839729747128327,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-24h,direct seasonal,47.01379950101704,76.54856045318206,11.157272941676487,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-168h,direct seasonal,48.94172208714721,77.22118006310735,10.892487721797568,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Pooled-source-linear,source-only transfer,38.214785852850014,55.526788821573,8.869418753903027,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-7d-linear,few-shot target only,39.892545411588365,61.23598463969065,9.287682589364026,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Pooled+target-7d-linear,few-shot transfer,38.213704267124896,55.526949994633256,8.869128343585619,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Target-28d-linear,few-shot target only,38.43238295139513,56.87959089552735,8.906706229950197,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Pooled+target-28d-linear,few-shot transfer,38.21210612941094,55.52326875262439,8.868355937094442,2208
