dataset,target_client,model,protocol,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR+adapter-7d,frozen representation with target adapter,52.53110604033793,82.78562898122594,6.86624920833111,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR+target-head-7d,frozen representation with target head,1178.2568562877493,1385.128421383906,84.48647544117927,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR+adapter-28d,frozen representation with target adapter,51.27328474310171,81.16469946418542,6.7573620068264315,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SSL-MR+target-head-28d,frozen representation with target head,61.746737309481105,91.48744397986243,8.119223199360132,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR-source-head,source-only frozen representation,47.89018669529023,66.263473104226,11.91677138409133,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR+adapter-7d,frozen representation with target adapter,47.1486992094042,66.00935883423391,11.731557421866126,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR+target-head-7d,frozen representation with target head,276.4851482550307,434.2216503397952,43.41384567477707,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR+adapter-28d,frozen representation with target adapter,46.90948171554096,65.36290977934652,11.645818787171137,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SSL-MR+target-head-28d,frozen representation with target head,49.755139293559836,70.03888285781598,12.501921082424106,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag-source-head,source-only frozen representation,45.96669530071763,68.36283015300444,9.137356951546394,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-7d,frozen representation with target adapter,45.500409996820856,68.23422832753477,9.033721720048128,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+target-head-7d,frozen representation with target head,540.0554874409501,764.4445222039686,67.06781138927353,2208
UCI Electricity Load Diagrams 2011-2014,MT_355,SSL-MR-lag+adapter-28d,frozen representation with target adapter,45.2933111515563,67.71599536680658,9.109321556871608,2208
