dataset,target_client,model,protocol,adapt_days,source_validation_rmse_normalized,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,62.69491221939308,84.65172792253921,5.697451621893466,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,62.00121971187806,84.00283205148958,5.655990966822628,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,108.54875279056765,140.4680521985809,9.18425349023992,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,148.74196417270008,195.090324643327,12.136058022522347,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,64.65475568892452,87.54101228322642,5.888351896170172,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,58.3797983391304,80.22795691079051,5.451837235668735,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,44.750773750183775,66.49484355397087,4.237634852113619,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,100.54343057715374,130.45213502717363,9.279782657538773,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,94.29087186982643,123.82984852711216,8.38721806766662,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,137.5628705122795,184.12470170413204,13.340496054666193,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,581.2582591439391,722.2543162584171,78.30936753460986,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,94.35755620857776,124.57733193398438,8.361288404089297,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,99.94241814522043,133.43540340417965,9.19661169373816,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,179.15007650371655,227.94103541641437,17.344402748860748,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,51.074794617252074,70.9353237005743,5.535400633073106,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,60.616751648474484,79.89202435024376,6.836390411304091,2208
