horizon,best_model,best_rmse_wh,lag_weather_rmse_wh,random_window_rmse_wh,seasonal_rmse_wh,persistence_rmse_wh,lag_weather_gain_vs_persistence_pct,random_window_gain_vs_lag_weather_pct
12h,Random-window ridge,84.8996837012545,85.7035846981366,84.8996837012545,107.10260380558206,129.28088948911503,33.70746052505113,0.9380016013490866
1h,Lag-weather ridge,78.59597065137105,78.59597065137105,78.61681871731453,107.03680850484834,98.97637577826883,20.59118144773744,-0.026525616734169023
3h,Random-window ridge,83.54352148154729,84.49216678736911,83.54352148154729,106.99276794814864,112.72932251371162,25.048634283159053,1.1227612474528728
6h,Random-window ridge,85.44526235086627,85.55304790492816,85.44526235086627,107.02242105896637,120.92920777812515,29.25361087133175,0.12598680783607996
