dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,72.64181563323929,99.89046375219945,6.294703854406112,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,429.4615897708645,540.6300819938277,52.34947295714887,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,72.74128063236735,100.10298193191115,6.291145917744126,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,178.10551855310422,228.45542475941068,17.00476551993599,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,trainable dilated-convolution source head,0,35.745615754818,55.01370235340904,3.827602168289737,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-24h,zero-label seasonal,0,59.46583434118741,100.50281522085459,6.300634917709931,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-168h,zero-label seasonal,0,67.1752874954887,100.8644183757621,6.932125793224209,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,41.35251857420538,59.33256703435132,4.564371496780031,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,373.2621409657175,438.29317905675447,33.335352221486716,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,36.254939789163856,55.233994705568136,3.91161534278487,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,46.02275877051805,67.99583535078334,4.988036844086796,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,trainable dilated-convolution source head,0,20.348567599751387,34.31040705603028,5.264078533565401,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-24h,zero-label seasonal,0,34.74964939338574,78.54758812070999,7.7917455796502475,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-168h,zero-label seasonal,0,50.175104683724,87.48884963519447,10.773676265540356,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,20.119829424297922,34.03367379897535,5.278361905832458,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,97.30543859686728,146.78135062685075,28.373041835422853,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,20.544056131954783,33.701937061501766,5.432585884930436,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,30.937510898958653,44.703090893558965,10.063547300881082,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,trainable dilated-convolution source head,0,31.991492289475545,49.66750361385488,4.284036831827381,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-24h,zero-label seasonal,0,56.93659528096517,104.97665642863868,7.50873208571903,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,Seasonal-168h,zero-label seasonal,0,70.86790593465169,115.58572641778778,8.639020751807921,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,32.979774539582294,50.89380818997569,4.389084026432685,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,315.444710018493,379.5339050643355,33.04729289767621,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,31.832666572540425,49.60960319718283,4.272333569061315,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,40.43216682542497,58.997853668184426,5.583250778436081,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,trainable dilated-convolution source head,0,29.553927741486337,44.07661504069649,7.030282068804363,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-24h,zero-label seasonal,0,47.013798720594764,76.54855904054796,11.157272993751043,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,Seasonal-168h,zero-label seasonal,0,48.941721142202184,77.22117805495913,10.892487744638979,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-7d,trainable dilated-convolution source head with target adapter,7,29.62875615849071,44.102807502832974,7.045584393695317,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+target-head-7d,target-only trainable dilated-convolution ridge,7,133.39953769816213,205.57504102146953,28.19354213540308,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,trainable dilated-convolution source head with target adapter,28,29.80042511993304,44.11339769372263,7.130594978134306,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+target-head-28d,target-only trainable dilated-convolution ridge,28,50.72509598643734,68.60756125616531,13.99655215712501,2208
