dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_101,RC-lag+adapter-7d,random-convolution representation with target adapter,7,27.662768558062293,44.49475057473489,6.147562622580124,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-7d,target-only lag-calendar ridge,7,38.71783960700451,61.43120113562003,7.6568675275566624,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,RC-lag+adapter-28d,random-convolution representation with target adapter,28,28.53258950050223,45.058672694376504,6.299530915360485,2208
UCI Electricity Load Diagrams 2011-2014,MT_101,Target-linear-28d,target-only lag-calendar ridge,28,37.04100063443865,59.2895525539652,7.248941169477027,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,RC-lag-source-head,random-convolution source representation,0,44.15667389368932,65.95422726817017,4.120129533214757,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-24h,zero-label seasonal,0,68.88167422750722,118.05820526404761,6.354551946567404,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Seasonal-168h,zero-label seasonal,0,81.71372761933699,127.24119188851255,7.218024397965249,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,RC-lag+adapter-1d,random-convolution representation with target adapter,1,45.9523619019151,68.11011280200992,4.348480510756225,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-1d,target-only lag-calendar ridge,1,70.43442720725952,107.82487145140533,6.313491650419547,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,RC-lag+adapter-3d,random-convolution representation with target adapter,3,68.72993914241083,90.00466990075476,6.39031929488337,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-3d,target-only lag-calendar ridge,3,145.9030763647393,183.26845383509672,14.103897837531754,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,RC-lag+adapter-7d,random-convolution representation with target adapter,7,42.28104812355607,63.97732365406001,3.9736521730254077,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-7d,target-only lag-calendar ridge,7,60.96706703356209,96.99226250449313,5.579529540758172,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,RC-lag+adapter-28d,random-convolution representation with target adapter,28,42.80356020780918,64.0007904040643,4.001796795954463,2208
UCI Electricity Load Diagrams 2011-2014,MT_218,Target-linear-28d,target-only lag-calendar ridge,28,58.40890594068683,83.9023925745426,5.3709798562933235,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,RC-lag-source-head,random-convolution source representation,0,75.65540482889887,102.86316794805208,6.622690989923575,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Seasonal-24h,zero-label seasonal,0,124.22286553313766,178.83196767948954,10.39369256319909,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Seasonal-168h,zero-label seasonal,0,92.17772094063137,128.9761784501056,7.920033800861657,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,RC-lag+adapter-1d,random-convolution representation with target adapter,1,82.51975319141046,111.32615633874686,7.3065846842270865,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-1d,target-only lag-calendar ridge,1,109.64788675637871,150.07980863717174,9.58056112069679,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,RC-lag+adapter-3d,random-convolution representation with target adapter,3,157.35227509373894,196.24214518611393,15.760475268492838,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-3d,target-only lag-calendar ridge,3,146.54863040950175,183.66112015515353,14.47650606616444,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,RC-lag+adapter-7d,random-convolution representation with target adapter,7,75.35576408951142,102.86907446583736,6.555127812901755,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-7d,target-only lag-calendar ridge,7,80.689348187603,112.13264804445932,6.903310541079387,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,RC-lag+adapter-28d,random-convolution representation with target adapter,28,75.81092913367468,103.9284726751341,6.574006377340484,2208
UCI Electricity Load Diagrams 2011-2014,MT_043,Target-linear-28d,target-only lag-calendar ridge,28,77.04960372444836,106.46558695531027,6.587307953946667,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,RC-lag-source-head,random-convolution source representation,0,40.86024497193382,59.569762507808875,4.476049458022324,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-24h,zero-label seasonal,0,59.46583434118741,100.50281522085459,6.300634917709931,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Seasonal-168h,zero-label seasonal,0,67.1752874954887,100.8644183757621,6.932125793224209,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,RC-lag+adapter-1d,random-convolution representation with target adapter,1,96.81254480793162,116.99283796523461,11.1096840745983,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-1d,target-only lag-calendar ridge,1,111.32600110555997,155.785333558597,11.866934053265577,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,RC-lag+adapter-3d,random-convolution representation with target adapter,3,53.83289696011143,72.67272965221244,5.851072597343354,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-3d,target-only lag-calendar ridge,3,105.21877847678269,140.86940927143513,11.919628477482325,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,RC-lag+adapter-7d,random-convolution representation with target adapter,7,43.042705590073105,61.014082827641765,4.773379943943788,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-7d,target-only lag-calendar ridge,7,55.14531794875528,82.56223323384583,5.870533479701452,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,RC-lag+adapter-28d,random-convolution representation with target adapter,28,38.467212790685814,57.27591961955139,4.2177440346105,2208
UCI Electricity Load Diagrams 2011-2014,MT_314,Target-linear-28d,target-only lag-calendar ridge,28,50.468754282803246,77.6254606780321,5.349698156556074,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,RC-lag-source-head,random-convolution source representation,0,24.18605546337757,37.45680918769989,6.60611193126867,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-24h,zero-label seasonal,0,34.74964939338574,78.54758812070999,7.7917455796502475,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Seasonal-168h,zero-label seasonal,0,50.175104683724,87.48884963519447,10.773676265540356,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,RC-lag+adapter-1d,random-convolution representation with target adapter,1,24.11744421500573,38.38783900113245,6.316517287116594,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-1d,target-only lag-calendar ridge,1,37.614580610085675,79.48749647170446,8.857764391873049,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,RC-lag+adapter-3d,random-convolution representation with target adapter,3,30.37450494142478,42.93401789775513,10.22625583903851,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-3d,target-only lag-calendar ridge,3,55.31936059593402,80.85512966949257,21.53209853969698,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,RC-lag+adapter-7d,random-convolution representation with target adapter,7,22.269992207445917,35.869796073208946,5.990343147367846,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-7d,target-only lag-calendar ridge,7,32.493303995670196,66.63534616449321,7.479507820213251,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,RC-lag+adapter-28d,random-convolution representation with target adapter,28,23.04459611481438,35.636347520653956,6.572669721838624,2208
UCI Electricity Load Diagrams 2011-2014,MT_104,Target-linear-28d,target-only lag-calendar ridge,28,32.212690637154886,70.52424669000546,7.3195933044966965,2208
