seed,dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
20260711,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.10663219595873,62.19197025874677,3.874282068086289,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.49444290840576,99.63216607293379,6.270750538336419,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.75908720588149,100.07307071948189,6.286419169548157,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.65595923610167,55.06098079155516,3.822823445475014,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.22437682924843,55.29258422120539,3.9123833194584914,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.342719993306872,34.25240127014313,5.309075353417357,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.52270115690624,33.66883260777859,5.468969940980271,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.88269259327909,49.422145745308605,4.270461264419231,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.793477870839524,49.43857472881816,4.266989003205924,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.644492209971,44.16070053486495,7.06197315157278,2208
20260711,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.842394929293356,44.16991801632237,7.158522950219778,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.891577960269505,54.799080263300986,6.302194040012382,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.169524208409143,54.03680155199288,6.45172494698051,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,55.93773927883078,77.78738843386235,4.9827739413384,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.44787974535546,78.04028738533796,5.0931479473358685,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.23425583113558,133.3000601319309,3.9526930945294856,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.22416999969491,132.028543473742,3.9111350356977397,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.394578035066736,44.8599868915026,5.724031881359518,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.205476497615905,44.51639507132114,5.821916284942543,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,40.946972204142966,62.54846614517145,3.860456376582245,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,40.92423848995661,62.06280773649771,3.8571611718516876,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.56703170437986,99.57469185857578,6.2820196415857215,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.75015508597873,99.98555104649537,6.291799402052478,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.84995409917832,55.268763323608894,3.8497115037428684,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.22719997296694,55.3059886568234,3.9220988638901124,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.604506292289027,34.3398502823138,5.383242413701534,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.355141973771303,33.46728231888706,5.413372914152079,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.0801800633311,49.575611618924704,4.291836387103891,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.68913332779958,49.257561606363936,4.254128933598399,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.82731957139358,44.29028096566403,7.103413316775111,2208
20260712,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.862910812658164,44.12877870427681,7.167285067771356,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.898268979585776,54.53226027139759,6.332468131568865,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.560972375252593,53.88153973865043,6.5973956866498416,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,56.04818376876421,77.9898725100438,4.998930832499529,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.22735150183258,77.96590070054589,5.063327292292741,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.47938454057942,133.51669041725302,3.961405428752847,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.2282334791317,131.9434453693258,3.911598337964519,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.159612014684054,44.397363937038016,5.667809906990265,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.378113593263816,44.2646738391689,5.865032608558287,2208
20260713,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,41.19867011604143,62.94590434418717,3.8845467849698667,2208
