comparison,target_client,baseline_model,candidate_model,baseline_rmse,candidate_rmse,rmse_delta,rmse_improvement_pct,baseline_mae,candidate_mae,mae_delta,mae_improvement_pct
7d SSL adapter vs 7d target ridge,MT_314,Target-linear-7d,SSL-MR-lag+adapter-7d,82.56223323384583,65.89273635825937,16.66949687558646,20.19022042242059,55.14531794875528,46.729500907477394,8.415817041277883,15.261163330490584
7d SSL adapter vs 7d target ridge,MT_355,Target-linear-7d,SSL-MR-lag+adapter-7d,83.71770261224628,68.23422832753477,15.48347428471152,18.494862856457058,48.44076199820753,45.500409996820856,2.940352001386671,6.069995351219855
7d SSL adapter vs 7d target ridge,MT_360,Target-linear-7d,SSL-MR-lag+adapter-7d,61.23330705417883,48.9709830454686,12.26232400871023,20.02557855949313,39.89148132919844,34.47856753081928,5.412913798379165,13.569097005222517
1d SSL adapter vs 1d target ridge,MT_043,Target-linear-1d,SSL-MR-lag+adapter-1d,150.07980863717174,107.16729403703688,42.912514600134855,28.59312987523779,109.64788675637872,78.5280483997846,31.11983835659413,28.381612520939665
1d SSL adapter vs 1d target ridge,MT_101,Target-linear-1d,SSL-MR-lag+adapter-1d,70.55811876334765,54.22480269089779,16.33331607244986,23.14874086599715,36.46499923231725,37.3842541275607,-0.9192548952434549,-2.5209239396576257
1d SSL adapter vs 1d target ridge,MT_104,Target-linear-1d,SSL-MR-lag+adapter-1d,79.48749647170446,49.23931694636663,30.248179525337832,38.0540095838915,37.614580610085675,30.788129994217368,6.826450615868307,18.14841613317873
1d SSL adapter vs 1d target ridge,MT_163,Target-linear-1d,SSL-MR-lag+adapter-1d,183.12954446233823,161.85307847981292,21.27646598252531,11.618259656022326,130.11872435561477,115.37779787105084,14.740926484563929,11.328828005012516
1d SSL adapter vs 1d target ridge,MT_166,Target-linear-1d,SSL-MR-lag+adapter-1d,103.87874362415268,91.3414851011362,12.537258523016476,12.069127990590617,75.79341953340017,65.35796113825137,10.4354583951488,13.768290782223074
1d SSL adapter vs 1d target ridge,MT_218,Target-linear-1d,SSL-MR-lag+adapter-1d,107.82487145140531,77.99084786254137,29.834023588863943,27.668962816533092,70.43442720725952,53.10564908858106,17.328778118678457,24.602710358795136
1d SSL adapter vs 1d target ridge,MT_222,Target-linear-1d,SSL-MR-lag+adapter-1d,95.191817047643,60.740023651603856,34.45179339603914,36.19196950384528,60.629052258983805,40.307076552634726,20.32197570634908,33.518544244336
1d SSL adapter vs 1d target ridge,MT_314,Target-linear-1d,SSL-MR-lag+adapter-1d,155.785333558597,115.47977280981232,40.30556074878467,25.872500207873657,111.32600110555995,94.53017201713146,16.79582908842849,15.087067640651702
1d SSL adapter vs 1d target ridge,MT_355,Target-linear-1d,SSL-MR-lag+adapter-1d,103.25555800289672,77.06258256811994,26.192975434776784,25.367133684021127,70.44736895421374,55.64326181972985,14.804107134483893,21.014421623191648
1d SSL adapter vs 1d target ridge,MT_360,Target-linear-1d,SSL-MR-lag+adapter-1d,67.2068493180375,49.45300376318192,17.75384555485558,26.41672052031557,44.37071989851788,34.98319388246809,9.38752601604979,21.15702886390032
zero-label SSL source head vs seasonal-168h,MT_043,Seasonal-168h,SSL-MR-lag-source-head,128.9761784501056,104.86042640272376,24.115752047381847,18.697834233560435,92.17772094063136,76.47485278805594,15.70286815257542,17.035426773774457
zero-label SSL source head vs seasonal-168h,MT_101,Seasonal-168h,SSL-MR-lag-source-head,71.44378371700371,54.16865262026867,17.275131096735045,24.18003386433681,42.73717263124991,38.26633182879901,4.470840802450901,10.46124609371508
zero-label SSL source head vs seasonal-168h,MT_104,Seasonal-168h,SSL-MR-lag-source-head,87.48884963519447,48.05607248440076,39.43277715079371,45.071774649247345,50.175104683724,30.062772721199824,20.112331962524177,40.08428500408947
zero-label SSL source head vs seasonal-168h,MT_163,Seasonal-168h,SSL-MR-lag-source-head,203.57060705558183,150.05275062400625,53.51785643157558,26.289579426839037,136.08531940847203,105.07595445999854,31.00936494847349,22.78670842914081
zero-label SSL source head vs seasonal-168h,MT_166,Seasonal-168h,SSL-MR-lag-source-head,124.01946880355212,86.08209090268468,37.93737790086743,30.58985679172724,82.84292310908221,61.09905673096836,21.74386637811385,26.247101818803436
zero-label SSL source head vs seasonal-168h,MT_218,Seasonal-168h,SSL-MR-lag-source-head,127.24119188851256,74.2244033284767,53.01678856003586,41.66637216546088,81.71372761933699,50.48506233722696,31.228665282110036,38.21715908933763
zero-label SSL source head vs seasonal-168h,MT_222,Seasonal-168h,SSL-MR-lag-source-head,115.58572641778778,58.57095509285282,57.01477132493496,49.32682701569354,70.86790593465169,37.99305919070589,32.874846743945795,46.38890667132195
zero-label SSL source head vs seasonal-168h,MT_314,Seasonal-168h,SSL-MR-lag-source-head,100.8644183757621,63.43376763433777,37.43065074142433,37.109866238438535,67.1752874954887,43.61554028579389,23.559747209694812,35.072045223888345
zero-label SSL source head vs seasonal-168h,MT_355,Seasonal-168h,SSL-MR-lag-source-head,98.59001250027984,68.36283015300444,30.227182347275402,30.659477142463697,55.78665714764941,45.96669530071763,9.819961846931776,17.602707079116577
zero-label SSL source head vs seasonal-168h,MT_360,Seasonal-168h,SSL-MR-lag-source-head,77.22117805495913,49.07709204712232,28.144086007836805,36.44607181181095,48.941721142202184,34.728040704127295,14.213680438074888,29.042052682978714
zero-label SSL source head vs seasonal-24h,MT_043,Seasonal-24h,SSL-MR-lag-source-head,178.83196767948954,104.86042640272376,73.97154127676578,41.36371267207707,124.22286553313766,76.47485278805594,47.74801274508172,38.437378287932404
zero-label SSL source head vs seasonal-24h,MT_101,Seasonal-24h,SSL-MR-lag-source-head,75.20647345506522,54.16865262026867,21.037820834796555,27.97341753747614,35.00377150549405,38.26633182879901,-3.2625603233049603,-9.320596561410195
zero-label SSL source head vs seasonal-24h,MT_104,Seasonal-24h,SSL-MR-lag-source-head,78.54758812070999,48.05607248440076,30.49151563630923,38.819162199418045,34.74964939338574,30.062772721199824,4.686876672185914,13.487550965271081
zero-label SSL source head vs seasonal-24h,MT_163,Seasonal-24h,SSL-MR-lag-source-head,304.94730911164237,150.05275062400625,154.89455848763612,50.79387614170704,212.05905361451968,105.07595445999854,106.98309915452114,50.449673018438865
zero-label SSL source head vs seasonal-24h,MT_166,Seasonal-24h,SSL-MR-lag-source-head,132.69342856371478,86.08209090268468,46.61133766103009,35.12708818029292,79.78956449204597,61.09905673096836,18.690507761077612,23.424752196687106
zero-label SSL source head vs seasonal-24h,MT_218,Seasonal-24h,SSL-MR-lag-source-head,118.0582052640476,74.2244033284767,43.833801935570904,37.128975353752615,68.88167422750722,50.48506233722696,18.396611890280262,26.70755625003923
zero-label SSL source head vs seasonal-24h,MT_222,Seasonal-24h,SSL-MR-lag-source-head,104.97665642863868,58.57095509285282,46.40570133578586,44.20573384077217,56.93659528096517,37.99305919070589,18.94353609025928,33.27128360376759
zero-label SSL source head vs seasonal-24h,MT_314,Seasonal-24h,SSL-MR-lag-source-head,100.5028152208546,63.43376763433777,37.06904758651683,36.88359127558539,59.46583434118741,43.61554028579389,15.850294055393519,26.654455000920148
zero-label SSL source head vs seasonal-24h,MT_355,Seasonal-24h,SSL-MR-lag-source-head,89.34583567234019,68.36283015300444,20.983005519335748,23.48515223058314,40.49633342977883,45.96669530071763,-5.470361870938802,-13.508289288521594
zero-label SSL source head vs seasonal-24h,MT_360,Seasonal-24h,SSL-MR-lag-source-head,76.54855904054796,49.07709204712232,27.471466993425636,35.887634382345375,47.01379872059477,34.728040704127295,12.285758016467476,26.13223851465889
