model,protocol,target_clients,mean_mae,mean_rmse,mean_smape,total_n
Target-28d-linear,few-shot target only,10,53.43330888177932,82.78363827416241,6.364482518097363,22080
Pooled+target-28d-linear,few-shot transfer,10,59.4539729731404,87.28700268320812,6.82383235022225,22080
Pooled+target-7d-linear,few-shot transfer,10,59.477821533999396,87.31203760202882,6.825889966542826,22080
Pooled-source-linear,source-only transfer,10,59.48755933235145,87.32103706551739,6.826796128450958,22080
Target-7d-linear,few-shot target only,10,57.239382865431345,88.10555273259487,6.730268002531366,22080
Seasonal-168h,direct seasonal,10,72.85035392314221,113.50014092353108,8.25070556010306,22080
Seasonal-24h,direct seasonal,10,75.86191393827286,125.96588298001525,8.047342511728122,22080
