zone,risk_weight,charge_std_coef,discharge_std_coef,charge_net_coef,discharge_net_coef,selection_score,selection_mean_revenue,selection_cvar_10,train_days,test_days
DE_LU,0.0,0.5,-0.5,8.0,4.0,23.522390955253297,23.522390955253297,-1.1054620259888086,557,140
DE_LU,0.25,0.5,0.0,8.0,4.0,23.28846548264191,23.472544028314577,-0.7363141826906616,557,140
DE_LU,0.5,0.5,0.0,8.0,4.0,23.104386936969245,23.472544028314577,-0.7363141826906616,557,140
DE_LU,0.75,0.0,0.0,4.0,4.0,22.966354286965487,23.359994468614726,-0.5248535755323183,557,140
DE_LU,1.0,0.0,0.0,4.0,4.0,22.835140893082407,23.359994468614726,-0.5248535755323183,557,140
DE_LU,1.5,0.0,0.0,4.0,4.0,22.572714105316248,23.359994468614726,-0.5248535755323183,557,140
DE_LU,2.0,0.0,0.0,4.0,4.0,22.310287317550088,23.359994468614726,-0.5248535755323183,557,140
DK_1,0.0,0.5,0.0,0.0,0.0,9.735175011472267,9.735175011472267,-9.554754429908224,1651,413
DK_1,0.25,0.5,0.5,0.0,0.0,7.384879020246627,9.722482285384586,-9.350413060551835,1651,413
DK_1,0.5,0.5,0.5,0.0,0.0,5.047275755108669,9.722482285384586,-9.350413060551835,1651,413
DK_1,0.75,0.5,0.5,0.0,0.0,2.7096724899707105,9.722482285384586,-9.350413060551835,1651,413
DK_1,1.0,0.5,0.5,0.0,0.0,0.3720692248327513,9.722482285384586,-9.350413060551835,1651,413
DK_1,1.5,0.5,0.5,0.0,0.0,-4.303137305443165,9.722482285384586,-9.350413060551835,1651,413
DK_1,2.0,0.5,0.5,0.0,0.0,-8.978343835719084,9.722482285384586,-9.350413060551835,1651,413
DK_2,0.0,0.0,0.5,8.0,4.0,17.19460903427849,17.19460903427849,-4.236318340445845,1651,413
DK_2,0.25,0.0,0.0,8.0,0.0,16.170901057690592,17.192265970676196,-4.085459651942418,1651,413
DK_2,0.5,0.0,0.0,8.0,0.0,15.149536144704987,17.192265970676196,-4.085459651942418,1651,413
DK_2,0.75,0.0,0.0,8.0,4.0,14.144391572165597,17.106622562420426,-3.9496413203397718,1651,413
DK_2,1.0,0.0,0.0,8.0,4.0,13.156981242080654,17.106622562420426,-3.9496413203397718,1651,413
DK_2,1.5,0.0,0.0,8.0,4.0,11.182160581910768,17.106622562420426,-3.9496413203397718,1651,413
DK_2,2.0,0.0,0.0,8.0,4.0,9.207339921740882,17.106622562420426,-3.9496413203397718,1651,413
GB_GBN,0.0,0.0,0.0,0.0,4.0,33.00399216220543,33.00399216220543,11.182025735129367,1645,412
GB_GBN,0.25,0.0,0.0,0.0,0.0,35.83338000256762,33.00397649190116,11.317614042665829,1645,412
GB_GBN,0.5,0.0,0.0,0.0,0.0,38.662783513234075,33.00397649190116,11.317614042665829,1645,412
GB_GBN,0.75,0.0,0.0,0.0,0.0,41.492187023900534,33.00397649190116,11.317614042665829,1645,412
GB_GBN,1.0,0.0,0.0,0.0,0.0,44.321590534566994,33.00397649190116,11.317614042665829,1645,412
GB_GBN,1.5,0.0,0.0,0.0,0.0,49.980397555899906,33.00397649190116,11.317614042665829,1645,412
GB_GBN,2.0,0.0,0.0,0.0,0.0,55.63920457723282,33.00397649190116,11.317614042665829,1645,412
