seed_index,mean_revenue,cvar_10,negative_revenue_days,zones,test_days
0,21.611273464529738,-1.5357526675467263,111,4,1378
1,21.507157722984676,-1.4091028005517532,109,4,1378
2,21.498307968929257,-1.6395041013768725,111,4,1378
3,21.42456152068828,-1.7529553955140105,113,4,1378
4,21.528543569714003,-1.681275390048207,115,4,1378
5,21.498179115486458,-1.2669631387163616,112,4,1378
6,21.630421025811195,-1.5513991907005993,110,4,1378
7,21.64795680296554,-1.403119407933612,112,4,1378
