zone,method,objective,selection_score,selection_mean_revenue,selection_cvar_10,best_iteration,train_validation_days,selection_subset_days,test_days,charge_w_0,charge_w_1,charge_w_2,charge_w_3,charge_w_4,charge_w_5,discharge_w_0,discharge_w_1,discharge_w_2,discharge_w_3,discharge_w_4,discharge_w_5
DE_LU,Surrogate policy-gradient (revenue),revenue,26.383685166285986,26.383685166285986,-0.9241080385416177,36,557,192,140,2.1108235977362484,-0.9894433792531511,0.8978678176344685,-0.735020949681801,-0.10445426899850857,-1.7205502538540576e-07,2.279845591201394,0.4424378282481931,1.363374554655553,-1.2402907820108615,-0.057742009406350464,3.3391084731400024e-08
DE_LU,Surrogate policy-gradient (risk-adjusted),risk_adjusted,26.35066215848077,26.11077217002637,0.5330888632320031,36,557,192,140,2.0687556505503872,-0.5440587474217078,0.7091686024972979,-0.3620848987371361,-0.42472640117238414,5.0672958920442414e-08,2.341815740160103,0.42914935393731324,1.5389147748813932,-1.1695815546069759,-0.14112686651467862,-1.2293994010554765e-07
DK_1,Surrogate policy-gradient (revenue),revenue,11.064489608761377,11.064489608761377,-8.513836736270132,36,1651,192,413,2.0044912249990663,-0.07138814962121817,0.7942387058671472,-1.2382621024201994,-1.0062975876291185,-7.656861464502613e-10,2.283308372860104,0.6008649305520458,1.6351368025292592,-0.43189864257280663,0.3871329641083981,-9.639467924492925e-08
DK_1,Surrogate policy-gradient (risk-adjusted),risk_adjusted,7.275848588384833,10.900734427852072,-8.055301865482752,36,1651,192,413,1.912228142897927,0.4027738264671619,0.6537380102424837,-0.6266758684499951,-1.0328940270588527,-4.633078455309052e-08,2.2665920232766563,0.5305468325821352,1.6667470423776942,-0.5821005435829998,0.41948516217609166,-1.7231266703981515e-07
DK_2,Surrogate policy-gradient (revenue),revenue,17.719290744340437,17.719290744340437,-4.279820725746903,36,1651,192,413,2.0502253737587703,-0.4452403836685011,0.8079775379494564,-1.0503423074879055,-0.9371983870658437,-1.477484401807034e-07,2.251660129756414,0.9350394707623481,1.3688113356262592,0.1687865438099238,0.33913585433607846,1.431555390702601e-07
DK_2,Surrogate policy-gradient (risk-adjusted),risk_adjusted,15.901746017509856,17.616624747676912,-3.8108416225934585,36,1651,192,413,2.0334837174395046,-0.09426029013170291,0.680593380579908,-0.7747803787821075,-0.9733323561398066,1.8079554698769444e-07,2.27887215842822,0.7129427935166017,1.4151533459276768,-0.33342699550367183,0.27186992800040793,-6.197844802192229e-09
GB_GBN,Surrogate policy-gradient (revenue),revenue,52.67076270394208,52.67076270394208,11.929366236145512,36,1645,192,412,2.3070510964845976,0.3022940978228224,0.9967252444796073,-1.389089734244505,-0.772476688923287,-1.523049131799587e-07,1.9179488216396199,0.7196340341321964,1.0030783218622454,-0.9004475553635393,0.1920491841116159,-9.30225712599231e-08
GB_GBN,Surrogate policy-gradient (risk-adjusted),risk_adjusted,57.91617643033447,52.490008561723094,12.05815081913638,36,1645,192,412,2.3224134319124365,0.3988131840275546,0.8963532796094322,-1.3737949766752044,-0.8280900653313226,-8.662146240863359e-08,1.9062745920718702,0.5250607677200521,1.0940440449829238,-0.734996444464479,-0.11914965323651404,5.7218517413572915e-08
