split,zone,method,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_imbalance_penalty
adaptation,DE_LU,Forecast-coupled DF (revenue),71,27.308138906468702,2.9479847922453253,2.104778396976428,0,10.166810164012976,10.188838131353553,0.5428411302734952
adaptation,DE_LU,Forecast-coupled DF (risk-adjusted),71,27.308138906468702,2.9479847922453253,2.104778396976428,0,10.166810164012976,10.188838131353553,0.5428411302734952
adaptation,DE_LU,Hindsight optimum,71,30.256123698714028,0.0,0.0,0,12.827604347826085,12.42349239130435,0.0
adaptation,DE_LU,Paper1 interval + Paper2 net FTO,71,27.1934735302259,3.062650168488125,2.306441014444033,0,10.293037708611184,10.069652740568706,0.5387431262346042
adaptation,DE_LU,Paper1 point + Paper2 net FTO,71,26.861859974834406,3.3942637238796203,3.056161820198458,0,9.759959257725914,9.891197088811467,0.5486615193480844
adaptation,DE_LU,Robust quantile FTO,71,16.162080141422404,14.094043557291622,8.4654173848124,1,1.7016064046701813,1.509828099358764,2.188199099238958
adaptation,DE_LU,Rolling-28d mean FTO,71,16.30623377158304,13.949889927130979,9.098598929912932,6,-4.459219429439042,-3.928246952245628,2.730381782611691
adaptation,DK_1,Forecast-coupled DF (revenue),208,24.761911134782622,4.610046599331095,3.8095001913715514,6,2.9131331593535963,1.94420257478016,1.1892072180601916
adaptation,DK_1,Forecast-coupled DF (risk-adjusted),208,24.761911134782622,4.610046599331095,3.8095001913715514,6,2.9131331593535963,1.94420257478016,1.1892072180601916
adaptation,DK_1,Hindsight optimum,208,29.371957734113714,0.0,0.0,3,5.198462608695655,4.323603312629401,0.0
adaptation,DK_1,Paper1 interval + Paper2 net FTO,208,23.113843290626367,6.258114443487352,5.505868386171848,9,0.562354820329263,-0.05945224753016777,1.2139856391395267
adaptation,DK_1,Paper1 point + Paper2 net FTO,208,24.50820452656751,4.8637532075462016,4.1565198441490026,6,2.278224514202693,1.803276557702559,1.1907619031983758
adaptation,DK_1,Robust quantile FTO,208,15.02133742412782,14.350620309985892,11.57122546937376,33,-8.199343103412073,-8.45700048414317,6.41924819460128
adaptation,DK_1,Rolling-28d mean FTO,208,15.066564161429039,14.305393572684675,11.851103181898011,32,-6.2688373926561844,-7.864145278958517,6.490209375360261
adaptation,DK_2,Forecast-coupled DF (revenue),208,23.972979008400582,3.940108575211461,3.0615708076826316,5,2.057538465196604,1.5307922349254923,0.7624647206964112
adaptation,DK_2,Forecast-coupled DF (risk-adjusted),208,23.942832070590445,3.9702555130215957,3.2160954268462163,5,2.1545136057316214,1.6082759072986708,0.7573947688744389
adaptation,DK_2,Hindsight optimum,208,27.913087583612043,0.0,0.0,2,4.526149130434786,3.7089097308488626,0.0
adaptation,DK_2,Paper1 interval + Paper2 net FTO,208,22.417478117058288,5.495609466553758,4.821811592639983,9,0.7566616493926733,0.20643638762421787,0.7339371421390426
adaptation,DK_2,Paper1 point + Paper2 net FTO,208,23.783574542412364,4.12951304119968,3.2175540302375385,7,1.9497769203353597,1.0777675640780158,0.748861494376938
adaptation,DK_2,Robust quantile FTO,208,18.409172614814285,9.503914968797755,6.752606057391024,21,-1.4630719423688872,-2.675735610317423,3.0310860808378894
adaptation,DK_2,Rolling-28d mean FTO,208,18.487434969825177,9.425652613786866,6.752606057391024,24,-2.3357485667377746,-3.4038049588614476,3.0439725134524176
adaptation,GB_GBN,Forecast-coupled DF (revenue),207,32.367426728558904,3.6544615302102677,2.9400561929628317,0,17.124234564994325,17.09780541639747,0.8622373336129135
adaptation,GB_GBN,Forecast-coupled DF (risk-adjusted),207,32.234273902266374,3.787614356502796,3.0399795571612103,0,17.771453382070902,17.752615436702154,0.8582536339655136
adaptation,GB_GBN,Hindsight optimum,207,36.021888258769174,0.0,0.0,0,22.930024347826095,22.84109440993789,0.0
adaptation,GB_GBN,Paper1 interval + Paper2 net FTO,207,31.139349320083717,4.882538938685455,4.179938812498985,0,16.72925288937714,15.552106773693414,0.8382573591853496
adaptation,GB_GBN,Paper1 point + Paper2 net FTO,207,32.32578543655466,3.696102822214503,2.9400561929628317,0,17.124234564994325,16.81202828270948,0.8545520555688401
adaptation,GB_GBN,Robust quantile FTO,207,29.812698863585677,6.209189395183488,5.050860747810475,1,11.848143737300946,10.511316976050026,1.8545742303021608
adaptation,GB_GBN,Rolling-28d mean FTO,207,29.68080369475458,6.34108456401459,5.224491735448268,1,11.851827222810126,10.613412825735015,1.8533065341889225
test,DE_LU,Forecast-coupled DF (revenue),72,35.91019541306947,3.6785974613266683,2.759651774599588,0,14.190531380785472,14.203320334771597,0.6353217366889878
test,DE_LU,Forecast-coupled DF (risk-adjusted),72,35.91019541306947,3.6785974613266683,2.759651774599588,0,14.190531380785472,14.203320334771597,0.6353217366889878
test,DE_LU,Hindsight optimum,72,39.58879287439614,0.0,0.0,0,17.78069130434783,16.752284782608697,0.0
test,DE_LU,Paper1 interval + Paper2 net FTO,72,35.67383909873146,3.914953775664675,2.9968240898199507,0,13.891697220578122,14.0995929245281,0.6312752732492171
test,DE_LU,Paper1 point + Paper2 net FTO,72,35.74989655359109,3.8388963208050466,2.802357121947294,0,15.032285183144284,14.592316584920404,0.6454574319161595
