dataset,zone,days,mean_hindsight_revenue,mean_prev_day_fto_revenue,mean_regret,median_regret,negative_revenue_days
OPSD,DE_LU,720,82.03965664251209,46.960019589372,35.0796370531401,17.751060869565226,65
OPSD,DK_1,2085,54.316410810134514,25.89693232405381,28.4194784860807,15.832000000000008,546
OPSD,DK_2,2085,59.810453408403724,35.21064740694402,24.599806001459704,12.62913043478261,413
OPSD,GB_GBN,2074,86.97702160077148,64.70296085698715,22.274060743784332,14.930052173913047,57
