method,mean_revenue,mean_regret,cvar_10,negative_revenue_days,mean_imbalance_penalty
Coarse revenue grid,21.63852095381871,11.831393312215427,-1.8528591943225292,115,3.391714267553598
Fine revenue grid,21.553420105429097,11.91649416060504,-1.6934319872401302,116,3.39355392709298
Coarse risk-adjusted grid,21.48727239232236,11.98264187371178,-1.275977379091647,110,3.4024729324844447
Fine risk-adjusted grid,21.440563704707806,12.029350561326332,-1.7770650659569256,113,3.415803717907964
