zone,iteration,objective,surrogate_score,surrogate_mean_revenue,surrogate_cvar_10,learning_rate
DE_LU,1,revenue,14.108279117411854,14.108279117411854,-0.7762019444259327,0.18
DE_LU,2,revenue,19.49370724265461,19.49370724265461,0.21430530579403753,0.12727922061357855
DE_LU,3,revenue,21.553109967173054,21.553109967173054,0.19867824610614107,0.10392304845413264
DE_LU,4,revenue,22.64875025247326,22.64875025247326,0.16248321282742648,0.09
DE_LU,5,revenue,23.352074714412495,23.352074714412495,0.11520811540342427,0.08049844718999243
DE_LU,6,revenue,23.858996071504265,23.858996071504265,0.09138105181947746,0.07348469228349534
DE_LU,7,revenue,24.248843381076018,24.248843381076018,0.02454279764192673,0.06803360514166089
DE_LU,8,revenue,24.559505472669684,24.559505472669684,-0.060393423582720686,0.06363961030678927
DE_LU,9,revenue,24.812065591598564,24.812065591598564,-0.1414724520932082,0.06
DE_LU,10,revenue,25.019907962626277,25.019907962626277,-0.2189456537071292,0.05692099788303082
DE_LU,11,revenue,25.19246535893522,25.19246535893522,-0.29185821012566704,0.05427204202399745
DE_LU,12,revenue,25.336861966488016,25.336861966488016,-0.35905473773670266,0.05196152422706632
DE_LU,13,revenue,25.458676753832503,25.458676753832503,-0.419660708308682,0.04992301766027062
DE_LU,14,revenue,25.562338757224662,25.562338757224662,-0.4732433532755252,0.04810702354423639
DE_LU,15,revenue,25.65137086909228,25.65137086909228,-0.5398601706312716,0.046475800154489
DE_LU,16,revenue,25.728568533671034,25.728568533671034,-0.6068717622221553,0.045
DE_LU,17,revenue,25.79614408262505,25.79614408262505,-0.6642477956821422,0.043656412506539934
DE_LU,18,revenue,25.855846352893163,25.855846352893163,-0.7129874235993641,0.042426406871192854
DE_LU,19,revenue,25.9090589398119,25.9090589398119,-0.7541236397904714,0.04129483209670111
DE_LU,20,revenue,25.956879432250293,25.956879432250293,-0.7886499969543551,0.04024922359499621
DE_LU,21,revenue,26.000182233578528,26.000182233578528,-0.8174794189376542,0.03927922024247863
DE_LU,22,revenue,26.03966775663763,26.03966775663763,-0.8414256917629166,0.03837612894400987
DE_LU,23,revenue,26.07590065569849,26.07590065569849,-0.8611995165318393,0.03753259453027346
DE_LU,24,revenue,26.109339422914392,26.109339422914392,-0.8774130488025185,0.03674234614174767
DE_LU,25,revenue,26.140359267081376,26.140359267081376,-0.8905887773934532,0.036
DE_LU,26,revenue,26.169269798609008,26.169269798609008,-0.9011701129470675,0.03530090432487313
DE_LU,27,revenue,26.196328707612054,26.196328707612054,-0.9095321356457644,0.034641016151377546
DE_LU,28,revenue,26.22175235149977,26.22175235149977,-0.9159916673994009,0.034016802570830444
DE_LU,29,revenue,26.245723958379315,26.245723958379315,-0.9208162825752403,0.033425160871869336
DE_LU,30,revenue,26.268399991723793,26.268399991723793,-0.9242321372001353,0.03286335345030997
DE_LU,31,revenue,26.289915098707272,26.289915098707272,-0.9264306435687389,0.03232895436481948
DE_LU,32,revenue,26.310385969919157,26.310385969919157,-0.9275740903083076,0.03181980515339464
DE_LU,33,revenue,26.32991436466948,26.32991436466948,-0.9278003371668962,0.03133397807202561
DE_LU,34,revenue,26.348589498594247,26.348589498594247,-0.9272267183323303,0.03086974532565159
DE_LU,35,revenue,26.366489945060362,26.366489945060362,-0.9259532798532939,0.030425553170226594
DE_LU,36,revenue,26.383685166285986,26.383685166285986,-0.9241080385416177,0.03
DE_LU,1,risk_adjusted,12.128701811035276,12.652643800991646,-1.1643155332363766,0.18
DE_LU,2,risk_adjusted,18.819848582585962,18.70470692861342,0.2558703421612055,0.12727922061357855
DE_LU,3,risk_adjusted,21.220264323057304,20.987368601915243,0.5175460469823563,0.10392304845413264
DE_LU,4,risk_adjusted,22.39211910704628,22.18298450373132,0.4647435629221395,0.09
DE_LU,5,risk_adjusted,23.140385133226744,22.938018777516135,0.4497030126902389,0.08049844718999243
DE_LU,6,risk_adjusted,23.68062507690786,23.471059824375676,0.4657005611826273,0.07348469228349534
DE_LU,7,risk_adjusted,24.10065500209195,23.877011863339717,0.4969847527827394,0.06803360514166089
DE_LU,8,risk_adjusted,24.448590392179895,24.20303802265858,0.5456719322695897,0.06363961030678927
DE_LU,9,risk_adjusted,24.736784621725366,24.475339391203722,0.5809894011592114,0.06
DE_LU,10,risk_adjusted,24.961279484302366,24.70499797183267,0.5695144721548797,0.05692099788303082
DE_LU,11,risk_adjusted,25.13001128291687,24.89885244315713,0.5136863105771957,0.05427204202399745
DE_LU,12,risk_adjusted,25.26367187393369,25.06087405052372,0.45066182979993136,0.05196152422706632
DE_LU,13,risk_adjusted,25.376599719473145,25.197361604675237,0.3983069217731302,0.04992301766027062
DE_LU,14,risk_adjusted,25.47310883056309,25.313192966872666,0.35536858597871435,0.04810702354423639
DE_LU,15,risk_adjusted,25.556609212426842,25.412167182715393,0.32098228824766073,0.046475800154489
DE_LU,16,risk_adjusted,25.629785395395174,25.497289347714247,0.2944356615131736,0.045
DE_LU,17,risk_adjusted,25.694736665497924,25.570957591393938,0.2750646091199675,0.043656412506539934
DE_LU,18,risk_adjusted,25.753094044841987,25.635096309336262,0.2622171900127183,0.042426406871192854
DE_LU,19,risk_adjusted,25.806118434651687,25.691256671977808,0.25524836149751157,0.04129483209670111
DE_LU,20,risk_adjusted,25.85478158636521,25.740694894940347,0.25352598094413564,0.04024922359499621
DE_LU,21,risk_adjusted,25.899831472930792,25.784434041464934,0.2564387365907968,0.03927922024247863
DE_LU,22,risk_adjusted,25.94184406641427,25.823313012885308,0.26340234117547273,0.03837612894400987
DE_LU,23,risk_adjusted,25.981263782810153,25.858025362405154,0.2738631564555518,0.03753259453027346
DE_LU,24,risk_adjusted,26.018434818258484,25.889149982643385,0.28729963470021636,0.03674234614174767
DE_LU,25,risk_adjusted,26.05362535677972,25.9171753065319,0.30322233388404224,0.036
