split,zone,risk_weight,days,mean_revenue,mean_regret,median_regret,negative_revenue_days,revenue_p05,cvar_10,mean_imbalance_penalty
test,DE_LU,0.0,140,22.738628487799602,12.445445984250089,8.4060006579789,9,-1.5564592732990286,-2.607473546524549,2.342167599156921
test,DE_LU,0.25,140,22.56853642619146,12.615538045858234,8.990842774844078,7,0.07633560744606936,-1.6700164503740678,2.3863710893364947
test,DE_LU,0.5,140,22.56853642619146,12.615538045858234,8.990842774844078,7,0.07633560744606936,-1.6700164503740678,2.3863710893364947
test,DE_LU,0.75,140,21.948026875115517,13.236047596934174,9.123721358862031,12,-2.632911477551719,-3.9005745335190563,2.485520702524237
test,DE_LU,1.0,140,21.948026875115517,13.236047596934174,9.123721358862031,12,-2.632911477551719,-3.9005745335190563,2.485520702524237
test,DE_LU,1.5,140,21.948026875115517,13.236047596934174,9.123721358862031,12,-2.632911477551719,-3.9005745335190563,2.485520702524237
test,DE_LU,2.0,140,21.948026875115517,13.236047596934174,9.123721358862031,12,-2.632911477551719,-3.9005745335190563,2.485520702524237
test,DK_1,0.0,413,16.020930250882632,15.896333608470988,13.251365115941965,62,-7.515375036707013,-9.365971276149867,6.55661130085966
test,DK_1,0.25,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_1,0.5,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_1,0.75,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_1,1.0,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_1,1.5,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_1,2.0,413,15.832801263083237,16.08446259627038,12.992474800991975,64,-7.107615223199579,-8.857441747327883,6.550967891564624
test,DK_2,0.0,413,20.88352465059236,12.068609637227418,8.463825819442135,41,-2.433757598713024,-3.1781076111334774,2.819415932626933
test,DK_2,0.25,413,20.68138973086489,12.270744556954885,8.904387682398756,37,-1.9308781722648503,-2.578805167911224,2.8173813608289775
test,DK_2,0.5,413,20.68138973086489,12.270744556954885,8.904387682398756,37,-1.9308781722648503,-2.578805167911224,2.8173813608289775
test,DK_2,0.75,413,20.838030370704725,12.114103917115044,8.412519808250973,34,-1.3030825312354586,-2.21031756033697,2.80257365077122
test,DK_2,1.0,413,20.838030370704725,12.114103917115044,8.412519808250973,34,-1.3030825312354586,-2.21031756033697,2.80257365077122
test,DK_2,1.5,413,20.838030370704725,12.114103917115044,8.412519808250973,34,-1.3030825312354586,-2.21031756033697,2.80257365077122
test,DK_2,2.0,413,20.838030370704725,12.114103917115044,8.412519808250973,34,-1.3030825312354586,-2.21031756033697,2.80257365077122
test,GB_GBN,0.0,412,26.91100042600025,6.915184018913215,5.185933062269012,3,8.860633519255506,7.740115656517776,1.8486622375708768
test,GB_GBN,0.25,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
test,GB_GBN,0.5,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
test,GB_GBN,0.75,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
test,GB_GBN,1.0,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
test,GB_GBN,1.5,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
test,GB_GBN,2.0,412,26.86636214914985,6.959822295763615,5.279510109916892,2,9.301910990011681,8.002353849246585,1.8551713882076852
train,DE_LU,0.0,418,23.208825290523055,12.397768052518344,8.440141051365291,24,-0.4842985530899828,-0.7424271311389218,2.865257068536651
train,DE_LU,0.25,418,23.151875644803848,12.454717698237552,8.72023693062726,20,0.43826199601376736,-0.3074425556871022,2.8873794415285876
train,DE_LU,0.5,418,23.151875644803848,12.454717698237552,8.72023693062726,20,0.43826199601376736,-0.3074425556871022,2.8873794415285876
train,DE_LU,0.75,418,22.844473935369372,12.762119407672028,9.185042123802297,21,0.3591427212112289,-0.3307409712790471,2.9378532333429255
train,DE_LU,1.0,418,22.844473935369372,12.762119407672028,9.185042123802297,21,0.3591427212112289,-0.3307409712790471,2.9378532333429255
train,DE_LU,1.5,418,22.844473935369372,12.762119407672028,9.185042123802297,21,0.3591427212112289,-0.3307409712790471,2.9378532333429255
train,DE_LU,2.0,418,22.844473935369372,12.762119407672028,9.185042123802297,21,0.3591427212112289,-0.3307409712790471,2.9378532333429255
train,DK_1,0.0,1238,8.626728066672845,12.683688474733351,10.218016780100031,418,-8.641405666338663,-9.728857663863527,6.076508795025548
train,DK_1,0.25,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_1,0.5,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_1,0.75,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_1,1.0,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_1,1.5,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_1,2.0,1238,8.649608047952809,12.660808493453388,10.26007254568003,431,-8.516894774108263,-9.597277505456777,6.078380994682579
train,DK_2,0.0,1238,16.75030872345253,8.02711742671956,5.957257993093133,206,-3.593991671455916,-4.0846257733900515,2.801286064775329
